	Model	Extractor	F1 Score	Accuracy
7	NB	countvec	0.81 ± 0.11	0.82 ± 0.11
5	LR	countvec	0.82 ± 0.11	0.82 ± 0.10
15	BERT	none	0.81 ± 0.11	0.82 ± 0.10
0	LR	tfidf	0.80 ± 0.15	0.81 ± 0.13
2	NB	tfidf	0.77 ± 0.14	0.78 ± 0.13
1	RF	tfidf	0.71 ± 0.14	0.72 ± 0.14
4	MV	tfidf	0.71 ± 0.14	0.72 ± 0.14
6	RF	countvec	0.71 ± 0.14	0.72 ± 0.14
9	MV	countvec	0.71 ± 0.14	0.72 ± 0.14
3	KNN	tfidf	0.67 ± 0.18	0.68 ± 0.18
10	LR	handcrafted	0.55 ± 0.15	0.58 ± 0.13
11	RF	handcrafted	0.55 ± 0.14	0.57 ± 0.12
14	MV	handcrafted	0.55 ± 0.14	0.57 ± 0.12
12	NB	handcrafted	0.52 ± 0.15	0.52 ± 0.13
13	KNN	handcrafted	0.44 ± 0.15	0.44 ± 0.17
8	KNN	countvec	0.37 ± 0.16	0.44 ± 0.15
